latitude,longitude,name
39.13,-77.21,Gaithersburg city
39.34,-75.88,Galena town
38.56,-75.71,Galestown town
38.84,-76.55,Galesville
39.09,-76.65,Gambrills
39.4,-77.66,Gapland
39.04,-77.09,Garrett Park town
39.35,-77.69,Garretts Mill
39.4,-76.75,Garrison
39.22,-76.2,Georgetown
39.18,-77.26,Germantown
39.58,-78.95,Gilmore
38.1,-75.4,Girdletree
38.82,-76.98,Glassmanor
39.16,-76.61,Glen Burnie
38.97,-77.14,Glen Echo town
38.93,-76.86,Glenarden city
39.07,-77.05,Glenmont
38.98,-76.8,Glenn Dale
38.49,-76.7,Golden Beach
39.03,-75.78,Goldsboro town
39.29,-79.35,Gorman
39.64,-78.92,Grahamtown
39.7,-79.15,Grantsville town
38.96,-76.2,Grasonville
39,-76.89,Greenbelt city
38.98,-75.81,Greensboro town
39.68,-77.56,Greensburg
39.64,-77.72,Hagerstown city
39.62,-77.77,Halfway
39.61,-76.86,Hampstead town
39.42,-76.57,Hampton
39.71,-78.18,Hancock town
39.55,-76.11,Havre de Grace city
38.42,-75.69,Hebron town
39.07,-75.77,Henderson town
39.05,-76.57,Herald Harbor
39.71,-77.49,Highfield-Cascade
38.93,-76.47,Highland Beach town
39.18,-76.96,Highland
39.03,-76.98,Hillandale
38.84,-76.96,Hillcrest Heights
38.92,-75.94,Hillsboro town
38.54,-76.77,Hughesville
38.61,-76.62,Huntingtown
38.63,-75.86,Hurlock town
39.41,-79.48,Hutton
38.96,-76.95,Hyattsville city
39.22,-76.77,Ilchester
38.6,-77.16,Indian Head town
39.65,-78.01,Indian Springs
39.6,-76.48,Jarrettsville
39.37,-77.54,Jefferson
39.65,-79.18,Jennings
39.15,-76.77,Jessup
38.29,-75.89,Jesterville
39.42,-76.35,Joppatowne
39.61,-77.59,Jugtown
39.49,-77.7,Keedysville town
39.04,-77.02,Kemp Mill
39.63,-77.81,Kemps Mill
39.31,-75.99,Kennedyville
39.03,-77.07,Kensington town
38.89,-76.79,Kettering
39.2,-76.05,Kingstown
39.45,-76.42,Kingsville
39.39,-79.18,Kitzmiller town
39.61,-78.96,Klondike
39.08,-76.9,Konterra
38.54,-76.97,La Plata town
39.65,-78.82,La Vale
38.91,-76.83,Lake Arbor
39.1,-76.49,Lake Shore
38.92,-76.89,Landover
38.94,-76.89,Landover Hills town
38.99,-76.98,Langley Park
38.96,-76.84,Lanham
39.24,-76.67,Lansdowne
38.88,-76.83,Largo
39.1,-76.86,Laurel city
39.09,-77.04,Layhill
39.21,-77.14,Laytonsville town
39.1,-77.07,Leisure World
39.69,-77.62,Leitersburg
38.3,-76.64,Leonardtown town
38.25,-76.44,Lexington Park
39.49,-77.25,Libertytown
39.41,-77.3,Linganore
39.21,-76.66,Linthicum
39.63,-78.39,Little Orleans
39.39,-79.37,Loch Lynn Heights town
39.35,-76.73,Lochearn
39.56,-78.98,Lonaconing town
38.46,-76.47,Long Beach
39.48,-79.06,Luke town
38.36,-76.44,Lusby
39.42,-76.62,Lutherville
39.66,-76.89,Manchester town
39.54,-77.65,Mapleville
38.46,-75.76,Mardela Springs town
38.84,-76.71,Marlboro Meadows
38.83,-76.77,Marlboro Village
38.82,-76.95,Marlow Heights
38.76,-76.79,Marlton
38.98,-77.07,Martin’s Additions village
39.11,-75.75,Marydel town
39.1,-76.81,Maryland City
39.69,-77.75,Maugansville
38.9,-76.51,Mayo
39.43,-76.65,Mays Chapel
39.45,-78.97,McCoole
38.44,-76.74,Mechanicsville
38.8,-76.84,Melwood
39.33,-76.43,Middle River
39.72,-77.72,Middleburg
39.44,-77.54,Middletown town
39.59,-78.95,Midland town
39.63,-78.95,Midlothian
39.34,-76.77,Milford Mill
39.26,-75.84,Millington town
38.94,-76.81,Mitchellville
39.36,-77.28,Monrovia
39.18,-77.2,Montgomery Village
38.83,-76.89,Morningside town
39.54,-79.01,Moscow
39.6,-77.61,Mount Aetna
39.37,-77.15,Mount Airy town
39.44,-77.69,Mount Briar
39.55,-77.62,Mount Lena
38.94,-76.96,Mount Rainier city
39.7,-78.88,Mount Savage
38.24,-75.79,Mount Vernon
39.4,-79.38,Mountain Lake Park town
39.51,-77.57,Myersville town
38.26,-75.91,Nanticoke Acres
38.27,-75.89,Nanticoke
39.61,-78.94,National
38.79,-77.01,National Harbor
38.99,-76.49,Naval Academy
